month_year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03,81909.0,107579.0,33469.6304,55652.6521,1101781.0,34829.9404,4503.9
2013-04,45181.0,77907.0,17827.0848,38571.989,655459.0,35177.4356,8827.7
2013-05,63808.0,104739.0,22649.0,45396.0,703429.0,55392.2584,15902.4
2013-06,76497.0,92676.0,10529.4968,52448.4843,931818.0,49506.0724,16838.0
2013-07,51270.0,63409.0,6909.2128,40999.404,611291.0,52941.2266,19996.8
2013-08,46370.0,62835.0,5145.8896,41896.716,577900.0,52256.3132,19897.8
2013-09,57161.0,75486.0,9947.9656,46154.0307,766196.0,26781.3108,14456.0
2013-10,70927.0,89344.0,16684.5584,54762.7837,817200.0,15394.0112,9530.5
2013-11,55644.0,76056.0,18692.0,43165.0,1050800.0,13559.5076,3982.3
2013-12,57070.0,79367.0,31459.66,46234.475,1333400.0,11103.9638,-120.0
2014-01,70956.0,93308.0,43415.0,49602.0,1386200.0,11753.0,-102.89999999999999
2014-02,100526.0,105095.0,38753.0,45275.0,1444000.0,13423.0,-65.4
2014-03,73610.0,109249.0,27252.0,51107.0,1031500.0,27556.0,7380.8
2014-04,74029.0,121043.0,14322.0,48497.0,639600.0,41132.0,12161.9
2014-05,53142.6,99879.1,11513.7,41807.3,596000.0,59034.9,15755.0
2014-06,43478.0,44427.0,4529.0,36940.0,503600.0,64044.0,17701.9
2014-07,69340.0,69340.0,3347.0,36217.0,596200.0,66864.0,20687.9
2014-08,50729.0,62170.1,3003.6,40842.7,535700.0,61815.9,19207.9
2014-09,50383.3,73954.3,3993.0,46545.1,655600.0,30629.5,14952.4
2014-10,97203.0,122753.0,8062.0,66007.0,971400.0,18642.0,10098.1
2014-11,67541.6,95312.8,12351.2,56813.8,1150100.0,11764.0,4277.5
2014-12,35815.0,75196.0,18148.0,33498.0,893000.0,19118.0,-482.7
2015-01,67775.1,85228.6,28247.5,51393.4,1523100.0,14309.0,-526.9
2015-02,57247.0,82704.0,20450.0,38055.0,1012400.0,30677.0,827.3
2015-03,65150.2,115807.3,17001.9,45524.9,931000.0,40152.4,6279.257142857143
2015-04,55718.5,97342.7,6954.4,39371.8,588200.0,55687.6,11253.7
2015-05,44041.0,82098.0,6458.0,35633.0,567000.0,74978.0,15962.9
2015-06,44572.0,62218.0,5280.0,32720.0,752900.0,73465.0,17667.2
2015-07,49325.0,62208.0,4269.0,39006.0,628400.0,89829.0,19640.0
2015-08,34859.0,53033.0,3080.0,32200.0,647200.0,71863.0,19668.2
2015-09,37783.0,52035.0,4188.0,43090.0,713300.0,46314.0,14832.6
2015-10,57895.0,72454.0,4737.0,53644.0,879400.0,30877.0,10653.9
2015-11,87970.0,93871.0,7568.0,56539.0,1757700.0,11971.0,2050.4
2015-12,114287.0,123418.0,17509.0,66791.0,2584700.0,16864.0,-269.9
2016-01,50350.0,64322.0,17061.0,41493.0,1345800.0,24455.0,-3385.2
2016-02,31155.0,42579.0,12616.0,23193.0,701400.0,35940.0,973.3
2016-03,76769.0,115171.0,16605.0,36059.0,1024800.0,38137.0,6846.2
2016-04,51263.0,82772.0,8221.0,25612.0,550100.0,53896.0,11847.4
2016-05,39711.0,56629.0,7033.0,22914.0,491100.0,74075.0,16124.6
2016-06,41261.0,51713.0,3965.0,20299.0,529600.0,84257.0,18529.8
2016-07,52945.0,57229.0,2561.0,25853.0,630600.0,77811.0,20608.4
2016-08,34400.0,36672.0,1996.0,29356.0,561600.0,66955.0,20730.3
2016-09,40174.0,49291.0,2188.0,35035.0,489700.0,44673.0,15997.837698412699
2016-10,63570.0,74096.0,2469.0,47657.0,840100.0,18187.0,9923.954166666666
2016-11,72218.0,90851.0,7048.0,53734.0,1399000.0,11931.0,3178.1
2016-12,98426.0,108254.0,13434.0,64235.0,1894700.0,13298.0,476.7
2017-01,85971.0,95224.0,15173.0,53036.0,1532500.0,30261.0,-847.4541666666667
2017-02,47692.0,56307.0,14341.0,40726.0,828900.0,36914.0,1788.55
