month_year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03,73594.0,91832.0,26022.4048,44165.0274,1030879.0,44529.6338,4392.6
2013-04,42800.0,64835.0,12036.2528,26452.028,558959.0,48558.1208,8936.8
2013-05,61739.0,87917.0,17355.8096,28082.3496,577060.0,70149.5856,16357.3
2013-06,58357.0,73672.0,10103.7464,22864.6824,790314.0,59580.341,17068.6
2013-07,46111.0,48317.0,4872.8376,18358.2952,609298.0,60301.8262,20290.1
2013-08,41181.0,50166.0,5243.1384,17736.2394,583800.0,67207.0992,20063.7
2013-09,52778.0,59743.0,4863.8408,30185.2202,695895.0,38972.3496,14673.8
2013-10,61384.0,74330.0,9331.6984,41319.0431,716600.0,22166.8726,9990.0
2013-11,43761.0,58554.0,17917.0104,34309.2716,793400.0,19088.6074,4822.8
2013-12,49956.0,60145.0,32793.9056,37334.632,1155400.0,18504.095,624.8
2014-01,65534.0,82007.0,43108.0,41903.0,1705400.0,19327.0,-8.200000000000012
2014-02,97060.0,101057.0,42065.0,40529.0,1460300.0,17474.0,-282.3
2014-03,63984.0,95120.0,25748.0,39935.0,973200.0,32784.0,7498.4
2014-04,74851.0,102342.0,11382.0,35428.0,633400.0,55075.0,12480.9
2014-05,40135.6,74654.5,9157.7,27063.5,553800.0,71185.4,16387.5
2014-06,33187.0,43573.0,3834.0,22585.0,498600.0,77796.0,18103.2
2014-07,57507.0,75935.0,4134.0,24285.0,654000.0,86614.0,21098.9
2014-08,42079.3,56532.5,3554.7,26772.2,555700.0,81080.1,19609.6
2014-09,43505.5,56714.5,3850.0,25315.8,657600.0,47040.7,14976.9
2014-10,88225.0,103015.0,4837.0,42385.0,938100.0,23339.0,10131.1
2014-11,55306.9,85453.0,12815.6,40694.2,1082200.0,18812.3,4579.7
2014-12,39105.0,66636.0,21841.0,35903.0,1070900.0,21619.0,-424.5
2015-01,71701.4,85384.4,27759.0,47066.0,1526200.0,18581.2,-465.4
2015-02,58308.0,78556.0,19327.0,29902.0,953600.0,26870.0,1074.6
2015-03,58094.5,107105.8,15567.2,35479.5,857200.0,39155.6,6516.183333333333
2015-04,44198.0,72162.0,4398.0,26000.0,488500.0,54938.0,11285.7
2015-05,40700.0,64945.0,4478.0,21049.0,473700.0,68526.0,15915.0
2015-06,42033.0,54093.0,3280.0,17469.0,556100.0,66893.0,17701.8
2015-07,41740.0,49520.0,3161.0,17307.0,449800.0,75865.0,19528.8
2015-08,28785.0,42400.0,2046.0,16659.0,373700.0,67203.0,19518.7
2015-09,30936.0,36589.0,2994.0,27455.0,530100.0,42582.0,14690.1
2015-10,32569.0,45818.0,3634.0,36037.0,652400.0,31351.0,10742.5
2015-11,65180.0,71425.0,5424.0,42820.0,1346400.0,8746.0,2315.0
2015-12,89447.0,109064.0,10460.0,57237.0,1977900.0,9905.0,23.20000000000001
2016-01,40803.0,60292.0,12208.0,41167.0,1113500.0,21872.0,-3087.8
2016-02,26753.0,40733.0,9069.0,30578.0,657100.0,31356.0,999.8
2016-03,54331.0,93015.0,9345.0,44981.0,850100.0,33007.0,6584.5
2016-04,40969.0,76695.0,5399.0,31226.0,537700.0,45585.0,11756.2
2016-05,37855.0,59582.0,4603.0,25636.0,442000.0,63937.0,15670.8
2016-06,38117.0,48511.0,2827.0,22859.0,467700.0,71146.0,18277.7
2016-07,40834.0,50552.0,2302.0,20282.0,711500.0,71071.0,20170.8
2016-08,27351.0,39191.0,2154.0,20724.0,654200.0,58123.0,20228.2
2016-09,32064.0,41159.0,2393.0,26573.0,570600.0,40458.0,15402.643492063493
2016-10,59331.0,71626.0,2550.0,39829.0,863300.0,17532.0,9537.26011904762
2016-11,61766.0,86175.0,7205.0,44556.0,1294700.0,9559.0,2964.5
2016-12,81721.0,93459.0,11464.0,51771.0,1759900.0,10655.0,74.3
2017-01,73136.0,84767.0,12720.0,41225.0,1413200.0,21845.0,-1021.0967857142857
2017-02,39852.0,48527.0,10563.0,30963.0,760800.0,24860.0,1596.3516666666667
