month_year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03,71205.0,81577.0,18163.7016,34156.0932,754741.0,50510.5258,4392.6
2013-04,40203.0,58903.0,9845.104,18541.2991,461689.0,52971.2102,8936.8
2013-05,52552.0,83039.0,12965.6768,19974.9634,569369.0,73037.4372,16357.3
2013-06,62237.0,63333.0,5608.4232,14945.9211,814426.0,58240.6708,17068.6
2013-07,43017.0,44885.0,3034.9656,11811.8533,611399.0,59532.631,20290.1
2013-08,37045.0,38178.0,3577.0,9086.0,515100.0,63334.881,20063.7
2013-09,45775.0,45140.0,3936.5648,15887.7496,623696.0,38772.5588,14673.8
2013-10,54385.0,65146.0,8437.8672,27648.1806,1116000.0,27776.2374,9990.0
2013-11,34061.0,51647.0,13905.7464,29368.019800000002,677500.0,24043.3858,4822.8
2013-12,38636.0,47876.0,23042.9376,29898.0009,760400.0,26101.171,624.8
2014-01,54374.0,74693.0,27568.0,28756.0,880500.0,25872.0,-8.200000000000012
2014-02,106604.0,99604.0,25322.0,29596.0,1204900.0,19514.0,-282.3
2014-03,62153.0,84000.0,16996.0,22381.0,818300.0,48232.0,7498.4
2014-04,65005.0,84191.0,8242.0,21647.0,492800.0,67738.0,12480.9
2014-05,35759.7,53975.5,6861.4,13192.6,338300.0,80714.4,16387.5
2014-06,28522.0,30783.0,3048.0,9868.0,325400.0,82387.0,18103.2
2014-07,59311.2,66628.8,3622.8,12245.0,586200.0,92184.4,21098.9
2014-08,38257.9,49932.6,3428.5,13874.1,488500.0,83562.2,19609.6
2014-09,38887.6,51084.6,3701.0,14205.6,511800.0,50446.7,14976.9
2014-10,86995.0,94001.0,4864.0,26158.0,753200.0,31724.0,10131.1
2014-11,51295.8,64714.9,11317.0,27792.0,707400.0,25270.4,4579.7
2014-12,35876.0,48600.0,15353.0,20058.0,699700.0,29595.0,-424.5
2015-01,63264.9,69116.9,20762.6,33397.8,1086700.0,23495.0,-465.4
2015-02,54437.0,70201.0,15813.0,18533.0,808100.0,36370.0,1074.6
2015-03,55879.8,93899.9,11002.4,19799.3,667300.0,53017.0,6516.183333333333
2015-04,40593.0,66905.2,4677.8,14822.0,380600.0,66966.7,11285.7
2015-05,34166.0,62993.5,4915.0,11882.0,403900.0,81031.0,15915.0
2015-06,36825.8,49580.1,4860.0,11188.2,456100.0,76493.0,17701.8
2015-07,36818.0,47563.3,3654.0,12898.0,358100.0,76742.0,19528.8
2015-08,26045.0,42504.0,4294.0,10385.0,455900.0,76841.0,19518.7
2015-09,27219.0,34709.0,2764.0,12555.0,422200.0,56256.0,14690.1
2015-10,39048.0,49752.0,5848.0,18650.0,626600.0,46630.0,10742.5
2015-11,61387.0,65177.0,9076.0,32549.0,1259600.0,11406.0,2315.0
2015-12,88316.0,95590.0,11520.0,38313.0,1519300.0,17824.0,23.20000000000001
2016-01,39602.0,53756.0,11526.0,22254.0,997200.0,33890.0,-3087.8
2016-02,24707.0,35472.0,6727.0,10124.0,466400.0,46604.0,999.8
2016-03,61506.0,98142.0,9196.0,25065.0,740600.0,48242.0,6584.5
2016-04,43829.0,84205.0,5056.0,18981.0,482300.0,60849.0,11756.2
2016-05,39264.0,63726.0,2970.0,14123.0,347500.0,85142.0,15670.8
2016-06,35320.0,45926.0,2444.0,14528.0,400500.0,83110.0,18277.7
2016-07,42688.0,46266.0,1946.0,10791.0,516200.0,126843.0,20170.8
2016-08,27671.0,33169.0,1647.0,6398.0,472800.0,60830.0,20228.2
2016-09,30388.0,35795.0,2166.0,8894.0,323600.0,50682.0,15402.64349
2016-10,72166.0,61592.0,2225.0,18543.0,636000.0,27383.0,9537.260119
2016-11,54523.0,71749.0,6482.0,32086.0,954500.0,18802.0,2964.5
2016-12,70481.0,78398.0,10556.0,41156.0,1312600.0,19756.0,74.3
2017-01,60748.0,68001.0,10347.0,29901.0,1049900.0,34758.0,-1021.0967857142857
2017-02,35910.0,43191.0,8425.0,18575.0,589000.0,41483.0,1596.3516666666667
