month_year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03,80752.0,97981.0,29730.8128,57192.3338,1157282.0,43889.9624,4655.2
2013-04,47012.0,70972.0,16101.9464,31532.2607,691035.0,49977.1104,9095.3
2013-05,67996.0,98197.0,23501.0,38808.0,869326.0,71917.4492,16315.4
2013-06,78773.0,83276.0,14967.6688,40351.4058,845259.0,62671.627,17153.0
2013-07,54288.0,59530.0,6565.3728,35243.4404,714900.0,63200.5442,20449.0
2013-08,47608.0,63763.0,7349.5336,32108.9018,792600.0,84259.5948,20326.9
2013-09,61395.0,71962.0,8622.7808,43217.3558,1002896.0,38383.6274,14728.7
2013-10,76314.0,80761.0,17187.284,53418.4121,1011600.0,24314.7974,9755.0
2013-11,59718.0,71590.0,19583.0,43125.0,1789500.0,17527.6414,4508.8
2013-12,63745.0,70349.0,30498.4632,46001.4604,856400.0,17212.927,249.8
2014-01,77462.0,83406.0,42125.0,29319.0,1393800.0,17698.0,-153.20000000000002
2014-02,103919.0,101689.0,42602.0,70727.0,1467400.0,26011.0,-279.7
2014-03,74313.0,96925.0,28270.0,45535.0,1116500.0,38395.0,7335.2
2014-04,64827.0,106550.0,14871.0,40145.0,718100.0,51222.0,12270.6
2014-05,47368.9,91803.8,13112.8,33573.8,714400.0,64723.1,16203.2
2014-06,41568.0,55392.0,5948.0,32762.0,689300.0,68064.0,17786.7
2014-07,73561.0,73561.0,6921.0,32198.0,789000.0,68686.0,20959.1
2014-08,51647.7,60806.6,5620.9,35484.6,744200.0,67845.7,19379.0
2014-09,48752.9,68351.9,7178.1,40203.8,838000.0,39660.6,14986.1
2014-10,86994.0,117840.0,8864.0,57969.0,1129200.0,19050.0,10000.9
2014-11,58924.1,96687.2,13942.9,46620.6,1246900.0,16335.1,3980.4
2014-12,41702.6,75982.9,22661.7,38785.2,1250900.0,20793.3,-869.4
2015-01,75170.6,86916.2,26868.3,47877.9,1470300.0,17021.2,-908.3
2015-02,73255.0,86779.0,19233.0,34164.0,1029600.0,23051.0,805.4
2015-03,69420.3,125951.1,17746.9,38644.7,1007900.0,34318.9,6279.257142857
2015-04,55726.0,89278.0,8813.0,32635.0,613600.0,52385.0,11253.7
2015-05,44804.0,68772.0,8355.0,29603.0,567800.0,68488.0,15962.9
2015-06,47885.0,59522.6,6249.0,28181.0,836400.0,66372.0,17667.2
2015-07,51414.0,61544.0,3904.0,28172.0,712300.0,71139.0,19640.0
2015-08,36931.0,51385.0,2810.0,24625.0,625500.0,67218.0,19668.2
2015-09,39167.0,51017.0,4689.0,34625.0,653400.0,41763.0,14832.6
2015-10,59541.0,78266.0,5613.0,43802.0,751300.0,26707.0,10653.9
2015-11,90124.0,95384.0,11386.0,44518.0,1425900.0,10122.0,2050.4
2015-12,119956.0,127543.0,17522.0,54099.0,2033800.0,10686.0,-269.9
2016-01,51601.0,65448.0,14710.0,37061.0,1090300.0,21559.0,-3385.2
2016-02,30051.0,42541.0,10753.0,23606.0,625000.0,33786.0,973.3
2016-03,73432.0,106635.0,15103.0,42003.0,947000.0,36523.0,6846.2
2016-04,55455.0,84743.0,7957.0,31661.0,620200.0,54038.0,11847.4
2016-05,47214.0,62928.0,7116.0,30576.0,639600.0,69060.0,16124.6
2016-06,47532.0,56648.0,4411.0,27778.0,613700.0,78894.0,18529.8
2016-07,60024.0,61909.0,3490.0,27222.0,789600.0,69963.0,20608.4
2016-08,37929.0,43067.0,2304.0,29576.0,714200.0,60330.0,20730.3
2016-09,43348.0,51000.0,2953.0,36383.0,638700.0,42526.0,15997.837698412699
2016-10,68492.0,87267.0,4695.0,47860.0,926700.0,17188.0,9923.954166666666
2016-11,77967.0,100982.0,10653.0,50423.0,1319100.0,10134.0,3178.1
2016-12,111392.0,139942.0,16570.0,60686.0,1937400.0,11122.0,476.7
2017-01,94380.0,117637.0,15758.0,47464.0,1509600.0,26449.0,-847.4541666666667
2017-02,50362.0,68998.0,13085.0,34507.0,792500.0,29907.0,1788.55
