month_year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03,76423.0,97034.0,33996.5424,54856.0816,1110195.0,44205.557,4503.9
2013-04,42714.0,68986.0,16290.9808,41536.8198,659145.0,44388.4908,8827.7
2013-05,59932.0,108279.0,21189.2888,41863.3844,749869.0,62531.6038,15902.4
2013-06,77065.0,88126.0,10288.9992,35637.3911,942595.0,52152.814,16838.0
2013-07,49051.0,59545.0,7698.5008,32682.1832,713386.0,57304.471,19996.8
2013-08,45804.0,60962.0,5346.284,33698.8553,534100.0,61908.0738,19897.8
2013-09,57626.0,71989.0,7127.6648,41024.0459,800192.0,34150.863,14456.0
2013-10,71817.0,89228.0,11303.832,52850.375,869600.0,18233.9518,9530.5
2013-11,57228.0,76234.0,17751.0,46010.0,1047200.0,12435.2602,3982.3
2013-12,62018.0,79666.0,29535.78,51955.3641,887900.0,10557.3584,-120.0
2014-01,75163.0,98613.0,41395.0,55674.0,1450200.0,11962.0,-102.89999999999999
2014-02,100781.0,105466.0,42324.0,50792.0,1502700.0,12700.0,-65.4
2014-03,70574.0,99187.0,28107.0,55052.0,1047900.0,32024.0,7380.8
2014-04,64903.0,98689.0,13326.0,48751.0,669700.0,52517.0,12161.9
2014-05,47113.3,92304.6,11710.6,43142.0,735600.0,67410.0,15755.0
2014-06,42955.0,54997.0,5196.0,32690.0,706900.0,71328.0,17701.9
2014-07,63903.0,80718.0,5580.0,31541.0,783800.0,74772.0,20687.9
2014-08,53622.6,65198.9,3952.3,37490.8,703600.0,69820.8,19207.9
2014-09,50601.7,63317.7,5259.0,41836.5,783800.0,38223.2,14952.4
2014-10,96539.0,110331.0,6624.0,61203.0,1088100.0,17190.0,10098.1
2014-11,64426.2,84973.3,13958.3,57022.4,1203600.0,13858.0,4277.5
2014-12,45361.0,63216.0,25166.0,48444.0,1255100.0,17318.0,-482.7
2015-01,70567.2,78602.9,28606.7,57254.8,1408500.0,14017.3,-526.9
2015-02,62581.0,76916.0,19970.0,41650.0,1000800.0,21262.0,827.3
2015-03,63372.8,102639.1,16813.8,44234.9,887300.0,33756.9,6279.257142857
2015-04,52272.0,85804.0,6934.0,34362.0,581900.0,54995.0,11253.7
2015-05,40697.0,79587.0,6629.0,29884.0,565200.0,70361.0,15962.9
2015-06,44990.0,60454.0,4793.0,28147.0,846300.0,66483.0,17667.2
2015-07,50139.0,59543.0,3933.0,29759.0,724400.0,73957.0,19640.0
2015-08,38137.0,51723.0,2560.0,29723.0,662100.0,72625.0,19668.2
2015-09,38387.0,49303.0,3866.0,33671.0,630400.0,44390.0,14832.6
2015-10,55989.0,70208.0,4486.0,43774.0,712700.0,28217.0,10653.9
2015-11,86980.0,92300.0,7834.0,46668.0,1399400.0,8198.0,2050.4
2015-12,115488.0,124090.0,16884.0,62082.0,2092500.0,9454.0,-269.9
2016-01,50033.0,63152.0,17452.0,42316.0,1107400.0,17220.0,-3385.2
2016-02,28556.0,39514.0,10482.0,27799.0,643600.0,30256.0,973.3
2016-03,70752.0,106949.0,14351.0,46256.0,929100.0,32767.0,6846.2
2016-04,52776.0,92533.0,8008.0,34142.0,568100.0,49915.0,11847.4
2016-05,42410.0,76429.0,7256.0,30415.0,542100.0,69118.0,16124.6
2016-06,47653.0,61954.0,4163.0,28995.0,598300.0,77998.0,18529.8
2016-07,59640.0,66511.0,3675.0,28405.0,700500.0,68989.0,20608.4
2016-08,36467.0,48680.0,2935.0,30585.0,646000.0,60080.0,20730.3
2016-09,41199.0,54975.0,2832.0,37380.0,574300.0,40033.0,15997.837698412699
2016-10,64745.0,82682.0,3871.0,47511.0,869900.0,15978.0,9923.954166666666
2016-11,77068.0,105934.0,9694.0,51351.0,1223800.0,9565.0,3178.1
2016-12,106328.0,122470.0,16123.0,64450.0,1855200.0,10900.0,476.7
2017-01,86631.0,104544.0,16086.0,53084.0,1425900.0,31536.0,-847.4541666666667
2017-02,48145.0,60101.0,14030.0,38830.0,675200.0,33257.0,1788.55
