month_year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03,80978.0,110207.0,28424.2416,55907.1218,1197966.0,43814.6674,4708.8
2013-04,46854.0,78293.0,13597.8208,37549.4718,668947.0,44434.7844,9140.5
2013-05,61535.0,111848.0,16393.6912,44278.9016,744443.0,62594.8888,16276.1
2013-06,74360.0,94903.0,6625.9976,44961.0207,1038402.0,51848.6224,17088.4
2013-07,45817.0,61739.0,3017.5632,35227.6044,732591.0,54450.0438,20152.8
2013-08,43624.0,66638.0,2773.0,33160.1659,671700.0,60241.469,20180.1
2013-09,57971.0,72275.0,4799.9896,44132.4352,851492.0,33020.348,14631.2
2013-10,71387.0,89366.0,8090.9568,56073.183,962800.0,20500.0912,9828.4
2013-11,55609.0,67491.0,14911.0,46293.0,1128000.0,19472.672,4577.6
2013-12,60489.0,73737.0,29953.7856,52919.1713,1863900.0,19179.6188,427.0
2014-01,78864.0,94347.0,39221.0,57283.0,2006800.0,23231.0,178.5
2014-02,104172.0,103570.0,35731.0,52148.0,1661500.0,21541.0,-45.8
2014-03,74001.0,115598.0,23745.0,54725.0,1264400.0,35086.0,7729.5
2014-04,72809.0,129020.0,11256.0,50347.0,742600.0,47956.0,12490.7
2014-05,52070.4,112226.4,22082.7,44551.2,661400.0,62782.5,16545.0
2014-06,41071.0,66077.0,2204.0,32533.0,598300.0,70339.0,18103.9
2014-07,67463.0,102299.0,3316.0,33756.0,676700.0,75547.0,21114.9
2014-08,48609.9,79531.6,2955.7,31960.3,622000.0,77184.1,19653.5
2014-09,51949.7,82669.7,3403.0,39974.9,712400.0,55452.0,15261.1
2014-10,92670.0,121730.0,6122.0,58097.0,1057800.0,20709.0,10595.1
2014-11,64899.8,99966.6,13681.7,49726.1,1294400.0,17267.8,4802.6
2014-12,44807.5,73999.0,23103.2,41664.3,1337200.0,20723.6,-6.999999999999993
2015-01,71101.6,85743.7,26710.9,50270.7,1541200.0,17810.8,157.8
2015-02,64148.0,83391.0,19132.0,33204.0,1081900.0,25526.0,1328.8
2015-03,65605.3,116403.9,16765.2,38715.7,979700.0,37038.3,6923.557142857
2015-04,51809.0,91912.0,6565.0,33863.0,579300.0,54874.0,11626.790909091
2015-05,43240.0,84492.0,6331.0,29939.0,528500.0,72045.0,16315.7
2015-06,45364.0,68210.0,4602.0,29843.0,824000.0,70370.0,18056.8
2015-07,45813.0,63306.0,2552.0,27975.0,498200.0,83597.0,19786.3
2015-08,34544.0,56183.0,1698.0,24261.0,595100.0,77022.0,19818.9
2015-09,35944.0,54769.0,3001.0,28344.0,502800.0,44931.0,14888.0
2015-10,57762.0,82147.0,3670.0,40141.0,704500.0,30102.0,10975.2
2015-11,95072.0,99958.0,8584.0,42953.0,1386900.0,8888.0,2656.2
2015-12,122941.0,132896.0,17225.0,55082.0,2369900.0,9627.0,338.2
2016-01,56919.0,71768.0,18432.0,36225.0,1277700.0,23524.0,-3101.7
2016-02,30412.0,42153.0,11917.0,19648.0,701500.0,35220.0,1155.7
2016-03,73365.0,113189.0,14238.0,40183.0,950300.0,38563.0,6845.3
2016-04,51966.0,97226.0,6337.0,33950.0,554200.0,51993.0,11901.0
2016-05,44244.0,80089.0,5863.0,30079.0,489100.0,74322.0,15671.1
2016-06,46512.0,70114.0,3294.0,30242.0,527000.0,83863.0,18164.7
2016-07,52300.0,69487.0,2101.0,27824.0,609500.0,80365.0,20192.2
2016-08,35918.0,56503.0,1924.0,28577.0,578900.0,60491.0,20103.6
2016-09,43692.0,66455.0,1876.0,32245.0,574000.0,37387.0,15358.58472222
2016-10,69328.0,83455.0,2178.0,44486.0,851500.0,14175.0,9489.900833333
2016-11,75902.0,103320.0,8738.0,52110.0,1321500.0,11328.0,3110.2
2016-12,99704.0,122078.0,12768.0,61753.0,1854400.0,11432.0,108.70000000000002
2017-01,94165.0,113402.0,16115.0,51849.0,1698500.0,18616.0,-1060.060685550082
2017-02,48936.0,65547.0,13060.0,36397.0,857800.0,22328.0,1589.7616666666668
