month_year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03,71302.0,88741.0,24550.508,36301.8885,889817.0,45939.178,3585.8
2013-04,41290.0,68120.0,13865.7672,22238.2287,542467.0,52638.256,8311.0
2013-05,57004.0,121219.0,26304.2784,30942.1292,716471.0,97544.28,15571.2
2013-06,53870.0,82911.0,7169.9616,19476.9919,781229.0,49108.7006,16414.6
2013-07,46202.0,63906.0,3944.9712,11089.2141,648592.0,62555.2894,19567.7
2013-08,41811.0,55918.0,3134.4272,15534.8148,557900.0,53038.9648,19201.0
2013-09,49679.0,64203.0,5654.1344,22954.6908,727897.0,34912.2426,13993.9
2013-10,57590.0,72467.0,8062.284,30999.3911,683200.0,26765.8956,8934.8
2013-11,42124.0,54376.0,14218.0,33795.0,705700.0,26353.0382,3509.0
2013-12,43138.0,51792.0,27480.7368,34221.3085,1007300.0,22914.3448,-1423.5
2014-01,64359.0,77047.0,35309.0,41180.0,1105900.0,20204.0,-1593.3
2014-02,101466.0,99937.0,36975.0,38076.0,1262900.0,24504.0,-977.4
2014-03,67305.0,88898.0,22516.0,34584.0,839400.0,46391.0,6522.0
2014-04,61109.0,93003.0,9768.0,30176.0,585000.0,57652.0,11614.8
2014-05,38462.6,67031.0,7764.0,21195.2,567300.0,75113.5,15350.0
2014-06,32773.0,48107.0,3547.0,15483.0,532200.0,80372.0,17270.4
2014-07,71708.3,85923.3,3323.0,17062.4,720200.0,82940.6,20010.4
2014-08,41213.9,55083.4,3235.0,16384.2,563200.0,82798.7,18709.9
2014-09,43196.5,54429.5,3711.0,18943.5,627000.0,50703.0,14008.5
2014-10,71623.0,86256.0,5090.0,29204.0,861000.0,30245.0,9466.7
2014-11,48728.7,67920.2,8972.0,33411.2,834800.0,20576.9,3615.1
2014-12,33964.6,51311.2,13832.9,28660.5,884400.0,24966.0,-1865.0
2015-01,59468.0,70582.7,16148.0,36390.7,1095100.0,18769.0,-1957.1
2015-02,53982.1,75273.1,10552.2,23244.8,801900.0,28066.5,-57.5
2015-03,64245.7,100043.2,10608.0,25548.5,759200.0,41427.5,5568.507142857143
2015-04,52171.5,72667.7,4814.7,19373.2,478700.0,61944.1,10592.3
2015-05,38778.2,64975.6,5359.0,16365.9,491200.0,72277.6,15291.2
2015-06,38609.0,49694.0,3796.0,11418.0,673500.0,67071.0,17006.3
2015-07,38796.0,47219.0,3235.0,11321.0,550900.0,70406.0,19098.6
2015-08,28380.0,43382.0,1922.0,7965.0,487600.0,61761.0,18681.0
2015-09,30909.0,37767.0,2775.0,10867.0,481500.0,43992.0,14004.3
2015-10,46977.0,58193.0,3508.0,18548.0,558300.0,31125.0,9733.6
2015-11,70112.0,71711.0,5721.0,29796.0,1100100.0,13316.0,1828.0
2015-12,95644.0,98675.0,7398.0,37235.0,1625000.0,20954.0,-1099.8
2016-01,43551.0,49431.0,8863.0,25081.0,880200.0,17321.0,-4600.5
2016-02,26858.0,34512.0,6130.0,13311.0,512600.0,26010.0,-176.5
2016-03,61680.0,84931.0,8732.0,24987.0,772600.0,33036.0,5954.3
2016-04,41399.0,76804.0,5653.0,17343.0,533900.0,48001.0,11145.5
2016-05,35866.0,62914.0,5013.0,15977.0,448800.0,68331.0,15018.4
2016-06,33763.0,49467.0,3411.0,13410.0,468600.0,75962.0,17498.3
2016-07,43425.0,50217.0,2245.0,11954.0,619700.0,64789.0,19684.5
2016-08,30774.0,38671.0,1995.0,10747.0,499500.0,44304.0,19480.7
2016-09,31987.0,39376.0,2287.0,10669.0,441200.0,39887.0,14619.516111111112
2016-10,58169.0,69325.0,3621.0,23448.0,696500.0,19890.0,9146.565952380952
2016-11,59722.0,84560.0,4498.0,34912.0,987400.0,13703.0,2270.4
2016-12,67897.0,82402.0,5869.0,37489.0,1291700.0,17252.0,-997.4
2017-01,65969.0,81315.0,6925.0,30933.0,1174500.0,26902.0,-2251.2917857142857
2017-02,38580.0,48463.0,6922.0,24041.0,688400.0,39145.0,577.8666666666667
