month_year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03,79437.0,94463.0,33693.54,57075.922,1115191.0,43717.037,4655.2
2013-04,41317.0,69738.0,16794.1144,38959.1276,671636.0,45217.9218,9095.3
2013-05,57583.0,96334.0,21057.0,44078.0,839836.0,62218.027,16315.4
2013-06,78100.0,77404.0,12635.1288,38127.0816,1089905.0,56717.099,17153.0
2013-07,56144.0,52791.0,6671.4984,30394.4936,855282.0,61739.5638,20449.0
2013-08,50718.0,55505.0,4546.0,36706.5239,764600.0,57263.7824,20326.9
2013-09,59140.0,71404.0,10148.828,50175.3362,925993.0,33727.3868,14728.7
2013-10,72136.0,82673.0,14759.2624,49051.6564,955900.0,19098.4834,9755.0
2013-11,60032.0,75916.0,17377.8512,43769.9538,985600.0,16015.4802,4508.8
2013-12,65402.0,85717.0,33008.4104,48851.2598,1308300.0,15797.496,249.8
2014-01,78963.0,101369.0,45081.0,50098.0,1446900.0,15619.0,-153.20000000000002
2014-02,105142.0,112280.0,44269.0,45747.0,1489600.0,17452.0,-279.7
2014-03,74700.0,103813.0,29126.0,50848.0,1107400.0,34419.0,7335.2
2014-04,62446.0,102596.0,14148.0,43803.0,699700.0,51285.0,12270.6
2014-05,50803.5,98657.0,12806.2,41504.6,617300.0,71693.5,16203.2
2014-06,40918.0,62323.0,6051.0,34761.0,638200.0,76156.0,17786.7
2014-07,62757.8,83070.8,6020.6,33153.4,782300.0,79540.3,20959.1
2014-08,45237.5,65354.3,4808.6,35966.0,710800.0,74706.5,19379.0
2014-09,46076.9,68053.9,6423.0,41464.6,841100.0,40351.1,14986.1
2014-10,101948.0,125820.0,7713.0,62502.0,1060800.0,19426.0,10000.9
2014-11,79773.0,104848.7,14562.7,57250.7,1204700.0,16929.5,3980.4
2014-12,57520.0,86479.0,26928.0,48611.0,1257500.0,21772.0,-869.4
2015-01,80424.1,97628.0,31660.2,57231.2,1491000.0,18576.8,-908.3
2015-02,68043.0,83733.0,21710.0,39583.0,993100.0,28144.0,805.4
2015-03,71058.2,104991.3,18194.1,47259.5,927300.0,36828.5,6279.257142857143
2015-04,57093.0,82774.4,8299.0,38522.0,604300.0,54968.0,11253.7
2015-05,44022.0,73397.0,7365.0,33884.0,684300.0,72212.0,15962.9
2015-06,46080.0,59641.3,5887.0,31384.0,873600.0,71277.0,17667.2
2015-07,42181.0,56042.0,4255.0,30640.0,680200.0,79597.0,19640.0
2015-08,31164.0,48181.0,2879.0,25998.0,621000.0,75801.0,19668.2
2015-09,36780.0,45789.0,4225.0,36311.0,631900.0,44615.0,14832.6
2015-10,58704.0,69824.0,5575.0,47825.0,746800.0,28426.0,10653.9
2015-11,90910.0,93058.0,11235.0,50131.0,1475500.0,12409.0,2050.4
2015-12,120039.0,122418.0,17228.0,71603.0,2384600.0,14549.0,-269.9
2016-01,52166.0,59438.0,16760.0,45125.0,1132000.0,25814.0,-3385.2
2016-02,30068.0,37144.0,11540.0,28815.0,626200.0,34991.0,973.3
2016-03,69690.0,97842.0,16092.0,50677.0,935500.0,36966.0,6846.2
2016-04,52082.0,78282.0,8312.0,36979.0,567400.0,50922.0,11847.4
2016-05,40306.0,62870.0,7568.0,33436.0,502000.0,71862.0,16124.6
2016-06,44262.0,55135.0,4237.0,28838.0,585400.0,80789.0,18529.8
2016-07,52895.0,56639.0,2883.0,29341.0,733000.0,74627.0,20608.4
2016-08,36616.0,44192.0,2674.0,28319.0,688900.0,65974.0,20730.3
2016-09,42788.0,52780.0,3226.0,33303.0,598600.0,44115.0,15997.837698412699
2016-10,64288.0,80300.0,4427.0,38764.0,922100.0,17482.0,9923.954166666666
2016-11,75459.0,104503.0,9235.0,47259.0,1367600.0,11431.0,3178.1
2016-12,107721.0,123348.0,14567.0,60691.0,1968000.0,13792.0,476.7
2017-01,92019.0,106920.0,16221.0,49097.0,1666500.0,22817.0,-847.4541666666667
2017-02,51087.0,62341.0,12970.0,33347.0,787300.0,28897.0,1788.55
