month_year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03,77868.0,95382.0,24467.8696,44030.2692,1030314.0,39391.4844,4200.0
2013-04,41625.0,59771.0,12463.9544,28767.4983,732940.0,40564.9756,8798.2
2013-05,59519.0,93222.0,15808.0,31765.0,750735.0,64311.4296,16104.0
2013-06,76173.0,81316.0,3950.2672000000002,24673.4067,955407.0,54054.559,17023.8
2013-07,46076.0,51057.0,4324.1072,22969.0242,971189.0,59815.9028,20185.1
2013-08,44938.0,52082.0,3043.6856,21473.3895,813600.0,58538.6754,19742.4
2013-09,52188.0,66276.0,6172.1296,20011.2406,876094.0,37157.629,14601.8
2013-10,61872.0,80402.0,7310.5568,38965.7956,833000.0,19866.908,9500.9
2013-11,48216.0,63454.0,11351.0,37355.7091,866800.0,16891.9606,4088.6
2013-12,47954.0,56093.0,21914.3704,35640.5129,1289900.0,19467.425,-155.0
2014-01,69655.0,83987.0,32908.0,41318.0,1224500.0,17352.0,-456.6
2014-02,108303.0,104318.0,32404.0,37585.0,1346600.0,19067.0,-234.0
2014-03,72734.0,98562.0,22970.0,44672.0,916300.0,33246.0,7181.7
2014-04,63347.0,101614.0,12252.0,39448.0,653600.0,49489.0,12298.2
2014-05,47895.1,81594.8,8601.7,39980.5,654700.0,66725.5,16179.1
2014-06,40218.0,53921.0,3412.0,22211.0,507300.0,76027.0,18004.9
2014-07,70903.6,84236.2,4665.4,20463.0,707300.0,78599.7,20948.3
2014-08,46625.6,61969.3,3369.8,21458.0,593200.0,73923.6,19517.7
2014-09,49167.0,60134.0,3226.0,25349.2,677200.0,37625.3,14613.1
2014-10,80570.0,95942.0,5474.0,41176.0,920400.0,20244.0,10058.1
2014-11,58491.2,86646.4,8592.4,40989.0,1046700.0,14919.2,4126.0
2014-12,38727.6,64948.0,17516.0,35369.0,1043400.0,20091.0,-1007.3
2015-01,73765.3,80937.3,19740.2,43086.2,1277600.0,21264.6,-925.1
2015-02,61712.0,79117.0,13808.0,30033.0,869200.0,26819.0,638.5
2015-03,65442.0,105734.6,13157.3,38447.6,823600.0,32643.0,6214.9
2015-04,53372.0,80136.0,7610.0,31588.0,529100.0,47025.0,11192.0
2015-05,43298.5,62601.5,6769.0,26368.0,485400.0,60910.0,15776.2
2015-06,46551.8,56775.3,3186.0,23104.8,797800.0,57897.6,17458.2
2015-07,46274.0,53512.0,2332.0,21328.0,578400.0,69107.0,19528.2
2015-08,32531.0,45469.0,2172.0,16707.0,571100.0,57150.0,19349.7
2015-09,35030.0,43660.0,2266.0,26827.0,520800.0,33262.0,14679.0
2015-10,56023.0,66989.0,3116.0,37299.0,655600.0,21658.0,10274.0
2015-11,84342.0,85784.0,7006.0,35538.0,1309300.0,12573.0,2216.5
2015-12,115953.0,118798.0,10319.0,47023.0,1997900.0,11916.0,-326.4
2016-01,52416.0,57691.0,11498.0,32896.0,1032000.0,24423.0,-3435.8
2016-02,34300.0,38083.0,8755.0,20630.0,599300.0,32848.0,601.9
2016-03,72681.0,90321.0,12552.0,39254.0,889500.0,32470.0,6510.4
2016-04,54656.0,78747.0,6355.0,28653.0,570600.0,46011.0,11716.3
2016-05,42442.0,60018.0,4793.0,29608.0,623700.0,65036.0,15721.0
2016-06,40454.0,46857.0,2704.0,21657.0,521200.0,76978.0,18067.6
2016-07,47453.0,53001.0,1743.0,19096.0,611400.0,70728.0,20274.5
2016-08,34732.0,43484.0,1878.0,22156.0,535200.0,55911.0,20184.9
2016-09,39401.0,48230.0,2599.0,25044.0,491700.0,17815.0,15492.051111111112
2016-10,60472.0,71437.0,4395.0,36255.0,763900.0,17595.0,9712.242261904763
2016-11,67686.0,88602.0,11539.0,46180.0,1262300.0,14316.0,2901.8
2016-12,88110.0,97009.0,15192.0,51914.0,1763600.0,17424.0,-126.9
2017-01,87687.0,97375.0,16896.0,45019.0,1692500.0,26803.0,-1355.377261904762
2017-02,47221.0,53953.0,13155.0,33682.0,841900.0,32658.0,1334.7
