month_year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03,78702.0,91590.0,28071.2392,47609.6643,1166571.0,46328.3824,4655.2
2013-04,43894.0,65436.0,15327.5432,31372.9156,707839.0,49126.4866,9095.3
2013-05,59885.0,102816.0,20087.0,31430.0,828633.0,60807.0248,16315.4
2013-06,79532.0,96292.0,11001.5704,35127.06,1039188.0,53860.118,17153.0
2013-07,51563.0,62589.0,5203.0544,32303.5435,790884.0,57838.199,20449.0
2013-08,47793.0,61242.0,4677.2832,30340.4508,686900.0,59687.2424,20326.9
2013-09,57755.0,76303.0,7515.2784,41528.6454,954791.0,32537.2686,14728.7
2013-10,70732.0,88357.0,9913.9736,48837.5504,956600.0,18731.738,9755.0
2013-11,57878.0,74463.0,10475.0,41324.0,1102700.0,13804.5094,4508.8
2013-12,63334.0,76256.0,21397.5768,50670.543,1397200.0,12855.087,249.8
2014-01,74474.0,93789.0,36060.0,54881.0,1477600.0,15390.0,-153.20000000000002
2014-02,97099.0,99742.0,37618.0,48015.0,1485000.0,22702.0,-279.7
2014-03,70181.0,95061.0,24986.0,48708.0,1071700.0,33952.0,7335.2
2014-04,61478.0,91231.0,11859.0,39005.0,678600.0,50362.0,12270.6
2014-05,47292.5,85407.9,8192.0,33501.2,669200.0,66743.0,16203.2
2014-06,43509.0,59374.0,6247.0,28995.0,657400.0,69866.0,17786.7
2014-07,68402.0,85956.0,5099.0,27174.0,753500.0,75108.0,20959.1
2014-08,49121.1,61695.9,4057.8,32356.6,687600.0,68846.2,19379.0
2014-09,49285.0,61504.0,5545.0,36052.1,781500.0,38304.7,14986.1
2014-10,85265.0,102072.0,7783.0,53160.0,1059100.0,18017.0,10000.9
2014-11,63981.0,91004.1,7664.0,45151.7,1153100.0,15291.9,3980.4
2014-12,49954.6,79801.8,17974.8,45029.8,1251800.0,21780.4,-869.4
2015-01,75596.8,85756.0,21652.2,50920.5,1394100.0,20675.3,-908.3
2015-02,64744.0,81426.0,15248.0,34677.0,965400.0,28122.0,805.4
2015-03,65192.6,101803.2,14056.0,38391.2,863200.0,40678.0,6279.257142857
2015-04,52890.0,79549.3,6393.0,31854.0,561800.0,61871.0,11253.7
2015-05,39983.0,69940.0,7456.0,31732.0,546700.0,76651.0,15962.9
2015-06,44746.0,57471.2,5044.0,30381.0,913700.0,68621.0,17667.2
2015-07,47494.0,56314.0,3828.0,30864.0,696500.0,76552.0,19640.0
2015-08,35240.0,45175.0,3957.0,27458.0,648400.0,69655.0,19668.2
2015-09,35510.0,44528.0,4541.0,35226.0,639900.0,38409.0,14832.6
2015-10,53526.0,66172.0,3967.0,41815.0,725200.0,27127.0,10653.9
2015-11,87286.0,90736.0,7812.0,43791.0,1350000.0,10341.0,2050.4
2015-12,117145.0,122001.0,9484.0,58781.0,2104000.0,10112.0,-269.9
2016-01,53235.0,64969.0,13466.0,44774.0,1184800.0,20742.0,-3385.2
2016-02,31151.0,42405.0,8975.0,28105.0,644100.0,33249.0,973.3
2016-03,67354.0,93042.0,11840.0,45205.0,912000.0,36415.0,6846.2
2016-04,47421.0,80785.0,8119.0,32463.0,611500.0,53680.0,11847.4
2016-05,36417.0,65564.0,6883.0,26832.0,522500.0,72403.0,16124.6
2016-06,44989.0,58465.0,4376.0,25963.0,566700.0,70894.0,18529.8
2016-07,52934.0,56885.0,3480.0,24081.0,716900.0,63118.0,20608.4
2016-08,35917.0,43687.0,2320.0,26180.0,655600.0,56897.0,20730.3
2016-09,40597.0,49563.0,2568.0,33832.0,602300.0,41152.0,15997.837698412699
2016-10,59818.0,72188.0,3115.0,39516.0,903600.0,16745.0,9923.954166666666
2016-11,71889.0,94102.0,5766.0,48967.0,1288400.0,12058.0,3178.1
2016-12,106574.0,132782.0,7694.0,62910.0,1899400.0,10313.0,476.7
2017-01,90435.0,113920.0,10495.0,52863.0,1694800.0,19856.0,-847.4541666666667
2017-02,48292.0,64409.0,9421.0,37703.0,803700.0,30756.0,1788.55
