month_year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03,82043.0,110031.5,32337.664,65707.9333,1240683.0,28966.2706,4503.9
2013-04,47941.0,78204.0,18643.384,52142.8723,646850.0,36642.797,8827.7
2013-05,69174.0,96562.0,18370.0,52174.0,758867.0,46643.8226,15902.4
2013-06,86384.0,81788.0,14159.7104,48405.5637,1177043.0,43424.5288,16838.0
2013-07,56334.0,59551.0,6860.6832,40538.3327,629692.0,48925.2554,19996.8
2013-08,49880.0,63731.0,11651.052,42514.3452,593600.0,51520.5272,19897.8
2013-09,62511.0,73627.0,9593.5896,48839.6382,776797.0,29340.153,14456.0
2013-10,77265.0,94336.0,16672.836,56391.804,978500.0,15107.243,9530.5
2013-11,62904.0,81352.0,15586.0,42085.2682,1288700.0,12314.1438,3982.3
2013-12,77487.0,86150.0,29576.928,54660.3204,1381200.0,10088.82,-120.0
2014-01,81895.0,105333.0,44285.0,68422.0,1814900.0,6925.643,-102.89999999999999
2014-02,109032.0,112322.0,43772.0,78310.0,1757900.0,9678.0,-65.4
2014-03,73489.0,112137.0,30811.0,69640.0,1151400.0,24133.0,7380.8
2014-04,66562.0,113698.0,13092.0,58108.0,699100.0,33137.0,12161.9
2014-05,47425.8,98598.1,12454.4,47788.5,643300.0,52613.5,15755.0
2014-06,40770.0,62201.0,5562.0,37037.0,527400.0,56469.0,17701.9
2014-07,67852.0,90766.0,8496.0,39861.0,597100.0,60568.0,20687.9
2014-08,49157.2,76966.6,6999.5,43825.2,554800.0,53020.9,19207.9
2014-09,47656.2,69836.2,7366.4,47165.7,631900.0,25236.6,14952.4
2014-10,94971.0,121949.0,8632.0,70024.0,977400.0,10114.0,10098.1
2014-11,66635.7,104183.5,13910.5,56579.3,1356000.0,8589.0,4277.5
2014-12,46592.5,81736.5,24283.6,46923.0,1407300.0,11771.6,-480.3
2015-01,73017.6,93816.0,28874.2,57517.1,1671400.0,8082.0,-452.9
2015-02,62944.0,86003.0,20694.0,49288.0,1172400.0,13931.0,866.6
2015-03,62744.9,114077.0,17500.7,64887.0,954200.0,22782.5,6526.72380952381
2015-04,53464.0,88247.0,7790.0,56117.0,520700.0,44454.0,11117.1
2015-05,43553.0,70419.0,7045.0,35429.0,551400.0,72350.0,15638.0
2015-06,44333.0,59942.7,6020.0,30087.0,933300.0,69008.0,17430.9
2015-07,48436.0,58939.0,3990.0,30103.0,664600.0,78466.0,19417.2
2015-08,35093.0,49285.0,2347.0,24186.0,597900.0,67621.0,19380.9
2015-09,35560.0,47134.0,3381.0,31025.0,583500.0,35495.0,14518.2
2015-10,51047.0,64183.0,4083.0,41584.0,646400.0,23245.0,10315.5
2015-11,81471.0,84948.0,9557.0,46472.0,1406800.0,7592.0,2371.7
2015-12,111370.0,116404.0,18849.0,59394.0,1930200.0,9634.0,-163.0
2016-01,49891.0,60910.0,17323.0,43554.0,1589100.0,17585.0,-3231.8
2016-02,30076.0,39184.0,12804.0,30024.0,545300.0,32228.0,886.3
2016-03,70623.0,103410.0,15344.0,58620.0,952400.0,33022.0,6741.6
2016-04,44647.0,74405.0,7155.0,41300.0,546800.0,49696.0,11786.5
2016-05,39189.0,53219.0,6128.0,35856.0,481000.0,68674.0,15510.3
2016-06,42004.0,54157.0,3738.0,35238.0,537600.0,72988.0,18050.6
2016-07,52728.0,59349.0,2131.0,31554.0,600100.0,63220.0,20001.1
2016-08,33619.0,43033.0,1717.0,31955.0,593400.0,54155.0,19990.2
2016-09,38197.0,47499.0,2136.0,35079.0,562800.0,36882.0,15461.437698412698
2016-10,61264.0,74348.0,2524.0,46586.0,846900.0,14945.0,9608.054166666667
2016-11,71132.0,97036.0,7671.0,54145.0,1429600.0,11720.0,2994.1
2016-12,94153.0,109373.0,14967.0,67887.0,2141900.0,12224.0,26.800000000000004
2017-01,86076.0,99099.0,15082.0,55853.0,1671500.0,22638.0,-935.0541666666667
2017-02,46870.0,57600.0,13721.0,41968.0,878100.0,27934.0,1516.25
