month_year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03,79384.0,96864.0,31224.096,47186.8571,1163386.0,36991.5604,4741.7
2013-04,56865.0,67622.0,15870.3776,30804.1078,723232.0,36679.688,9071.4
2013-05,60877.0,96001.0,19818.1232,39035.325,819230.0,52956.0794,16210.2
2013-06,76300.5,85202.5,10549.0576,38668.2142,1139382.0,51391.2426,17123.8
2013-07,50704.0,54830.0,5806.3184,33682.1247,912485.0,63337.8478,20204.4
2013-08,44193.0,60742.0,5205.2704,34042.8473,800400.0,64890.8868,20279.7
2013-09,44199.0,84593.0,9729.2304,41493.3504,983395.0,35635.3372,14750.9
2013-10,73648.0,99665.0,11568.4016,54778.2685,1039100.0,21584.24,9820.7
2013-11,60721.0,80423.0,16926.0,41761.0,1134200.0,14118.244,4234.0
2013-12,68675.0,90651.0,33343.8144,49464.6311,1648800.0,9580.61,-3.8999999999999897
2014-01,87344.0,116423.5,46036.0,59849.0,1644500.0,8926.0,129.2
2014-02,106130.0,118455.0,46104.0,50888.0,1654900.0,15088.0,60.1
2014-03,73521.0,117693.0,29810.0,49394.0,1107900.0,35307.0,7822.3
2014-04,62455.0,101709.0,13513.0,39582.0,774100.0,49420.0,12372.5
2014-05,48103.9,88461.1,11514.5,36177.4,710500.0,67222.9,16267.7
2014-06,41784.0,58459.0,4564.0,33408.0,712700.0,74950.0,17929.4
2014-07,63648.0,82049.0,3899.0,30111.0,674700.0,77872.0,21046.0
2014-08,47929.5,67849.5,3009.2,36604.1,764200.0,70348.9,19499.3
2014-09,53311.3,70356.3,4089.0,42586.0,837000.0,38811.2,15208.9
2014-10,83454.0,106573.0,5526.0,59485.0,1071600.0,18440.0,10449.4
2014-11,74212.3,102294.9,10233.5,55511.1,1281400.0,16059.0,4587.2
2014-12,51333.2,83792.4,24860.3,47860.6,1401000.0,21835.3,-168.5
2015-01,76865.8,95451.0,28853.3,57162.8,1496700.0,18025.3,-93.4
2015-02,69424.0,89948.0,19088.0,39956.0,1046400.0,26010.0,1171.4
2015-03,65226.0,115062.0,17320.0,44506.0,936400.0,40321.0,6279.257142857
2015-04,52162.0,86405.0,6984.0,35768.0,602100.0,56112.0,11253.7
2015-05,40766.0,69519.0,6706.0,31100.0,576300.0,73296.0,15962.9
2015-06,42684.0,58263.0,4950.0,26904.0,625000.0,66712.0,17667.2
2015-07,45856.0,57497.0,3672.0,28417.0,727800.0,70696.0,19640.0
2015-08,34219.0,50653.0,2311.0,26399.0,678400.0,74599.0,19668.2
2015-09,38263.0,49184.0,3554.0,30703.0,686000.0,42243.0,14832.6
2015-10,57178.0,73409.0,4038.0,41493.0,777100.0,27467.0,10653.9
2015-11,90584.0,94870.0,10471.0,43365.0,1505100.0,10219.0,2050.4
2015-12,125587.0,133947.0,18085.0,56356.0,2298600.0,13165.0,-269.9
2016-01,56005.0,65800.0,18133.0,39427.0,1219500.0,20904.0,-3385.2
2016-02,33707.0,41476.0,11953.0,24001.0,650900.0,33352.0,973.3
2016-03,70844.0,97338.0,15267.0,40179.0,910500.0,35835.0,6846.2
2016-04,48067.0,78727.0,8067.0,29546.0,598500.0,52902.0,11847.4
2016-05,40975.0,71606.0,6809.0,27869.0,538900.0,73820.0,16124.6
2016-06,45436.0,58146.0,3790.0,24558.0,603300.0,89214.0,18529.8
2016-07,55373.0,61023.0,2472.0,25654.0,741700.0,72160.0,20608.4
2016-08,37694.0,47998.0,1963.0,29546.0,693600.0,56596.0,20730.3
2016-09,42279.0,50752.0,1989.0,36274.0,623700.0,41012.0,15997.837698412699
2016-10,62474.0,70773.0,2462.0,45378.0,927300.0,15050.0,9923.954166666666
2016-11,76609.0,98192.0,7537.0,51464.0,1305200.0,10092.0,3178.1
2016-12,116791.0,125867.0,12951.0,66908.0,1937800.0,11286.0,476.7
2017-01,98254.0,111197.0,13826.0,52962.0,1674200.0,20811.0,-847.4541666666667
2017-02,52285.0,61179.0,12481.0,37944.0,789000.0,27469.0,1788.55
